Years to First Adjustment|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
1/2/2017|3.6|3.56|3.57|3.57|3.56|3.56|3.66|3.66|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77
1/9/2017|3.59|3.56|3.55|3.55|3.55|3.55|3.67|3.67|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
1/16/2017|3.52|3.5|3.5|3.5|3.48|3.48|3.58|3.58|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7
1/23/2017|3.52|3.5|3.48|3.48|3.46|3.46|3.56|3.56|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67
1/30/2017|3.49|3.48|3.47|3.47|3.46|3.46|3.57|3.57|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69
2/6/2017|3.53|3.51|3.5|3.5|3.48|3.48|3.6|3.6|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73
2/13/2017|3.49|3.48|3.47|3.47|3.45|3.45|3.57|3.57|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7
2/20/2017|3.54|3.52|3.51|3.51|3.47|3.47|3.57|3.57|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67
2/27/2017|3.55|3.53|3.51|3.51|3.46|3.46|3.56|3.56|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66
3/6/2017|3.59|3.56|3.53|3.53|3.48|3.48|3.56|3.56|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64
3/13/2017|3.7|3.65|3.63|3.63|3.6|3.6|3.68|3.68|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76
3/20/2017|3.74|3.69|3.67|3.67|3.64|3.64|3.72|3.72|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8
3/27/2017|3.7|3.65|3.62|3.62|3.6|3.6|3.67|3.67|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75
