Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
1/2/2017|3.52|3.38|3.47|3.47|3.5|3.5|3.75|3.75|3.9|3.9|3.9|3.9|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36
1/9/2017|3.52|3.39|3.41|3.41|3.49|3.49|3.77|3.77|3.93|3.93|3.93|3.93|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24
1/16/2017|3.53|3.4|3.46|3.46|3.43|3.43|3.67|3.67|3.83|3.83|3.83|3.83|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16
1/23/2017|3.48|3.37|3.36|3.36|3.37|3.37|3.63|3.63|3.78|3.78|3.78|3.78|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13
1/30/2017|3.32|3.27|3.35|3.35|3.36|3.36|3.64|3.64|3.81|3.81|3.81|3.81|3.46|3.46|3.46|3.46|3.46|3.46|3.46|3.46|3.46|3.46|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22|4.22
2/6/2017|3.51|3.38|3.37|3.37|3.39|3.39|3.69|3.69|3.86|3.86|3.86|3.86|3.48|3.48|3.48|3.48|3.48|3.48|3.48|3.48|3.48|3.48|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23
2/13/2017|3.25|3.36|3.35|3.35|3.37|3.37|3.66|3.66|3.84|3.84|3.84|3.84|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2
2/20/2017|3.36|3.3|3.38|3.38|3.34|3.34|3.62|3.62|3.76|3.76|3.76|3.76|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19
2/27/2017|3.38|3.31|3.37|3.37|3.32|3.32|3.59|3.59|3.74|3.74|3.74|3.74|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2
3/6/2017|3.37|3.29|3.35|3.35|3.3|3.3|3.56|3.56|3.69|3.69|3.69|3.69|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14
